XXXXXXXX XXX
XXXXXXXX XXX
00000000 000
00000000 001
00000000 010
00000000 011
00000000 100
00000000 101
00000000 110
00000000 111
00000001 000
00000001 001
00000001 010
00000001 011
00000001 100
00000001 101
00000001 110
00000001 111
00000010 000
00000010 001
00000010 010
00000010 011
00000010 100
00000010 101
00000010 110
00000010 111
00000011 000
00000011 001
00000011 010
00000011 011
00000011 100
00000011 101
00000011 110
00000011 111
00000100 000
00000100 001
00000100 010
00000100 011
00000100 100
00000100 101
00000100 110
00000100 111
00000101 000
00000101 001
00000101 010
00000101 011
00000101 100
00000101 101
00000101 110
00000101 111
00000110 000
00000110 001
00000110 010
00000110 011
00000110 100
00000110 101
00000110 110
00000110 111
00000111 000
00000111 001
00000111 010
00000111 011
00000111 100
00000111 101
00000111 110
00000111 111
00001000 000
00001000 001
00001000 010
00001000 011
00001000 100
00001000 101
00001000 110
00001000 111
00001001 000
00001001 001
00001001 010
00001001 011
00001001 100
00001001 101
00001001 110
00001001 111
00001010 000
00001010 001
00001010 010
00001010 011
00001010 100
00001010 101
00001010 110
00001010 111
00001011 000
00001011 001
00001011 010
00001011 011
00001011 100
00001011 101
00001011 110
00001011 111
00001100 000
00001100 001
00001100 010
00001100 011
00001100 100
00001100 101
00001100 110
00001100 111
00001101 000
00001101 001
00001101 010
00001101 011
00001101 100
00001101 101
00001101 110
00001101 111
00001110 000
00001110 001
00001110 010
00001110 011
00001110 100
00001110 101
00001110 110
00001110 111
00001111 000
00001111 001
00001111 010
00001111 011
00001111 100
00001111 101
00001111 110
00001111 111
00010000 000
00010000 001
00010000 010
00010000 011
00010000 100
00010000 101
00010000 110
00010000 111
00010001 000
00010001 001
00010001 010
00010001 011
00010001 100
00010001 101
00010001 110
00010001 111
00010010 000
00010010 001
00010010 010
00010010 011
00010010 100
00010010 101
00010010 110
00010010 111
00010011 000
00010011 001
00010011 010
00010011 011
00010011 100
00010011 101
00010011 110
00010011 111
00010100 000
00010100 001
00010100 010
00010100 011
00010100 100
00010100 101
00010100 110
00010100 111
00010101 000
00010101 001
00010101 010
00010101 011
00010101 100
00010101 101
00010101 110
00010101 111
00010110 000
00010110 001
00010110 010
00010110 011
00010110 100
00010110 101
00010110 110
00010110 111
00010111 000
00010111 001
00010111 010
00010111 011
00010111 100
00010111 101
00010111 110
00010111 111
00011000 000
00011000 001
00011000 010
00011000 011
00011000 100
00011000 101
00011000 110
00011000 111
00011001 000
00011001 001
00011001 010
00011001 011
00011001 100
00011001 101
00011001 110
00011001 111
00011010 000
00011010 001
00011010 010
00011010 011
00011010 100
00011010 101
00011010 110
00011010 111
00011011 000
00011011 001
00011011 010
00011011 011
00011011 100
00011011 101
00011011 110
00011011 111
00011100 000
00011100 001
00011100 010
00011100 011
00011100 100
00011100 101
00011100 110
00011100 111
00011101 000
00011101 001
00011101 010
00011101 011
00011101 100
00011101 101
00011101 110
00011101 111
00011110 000
00011110 001
00011110 010
00011110 011
00011110 100
00011110 101
00011110 110
00011110 111
00011111 000
00011111 001
00011111 010
00011111 011
00011111 100
00011111 101
00011111 110
00011111 111
00100000 000
00100000 001
00100000 010
00100000 011
