XXX XXXXXXXX
XXX XXXXXXXX
000 00000000
000 00001010
000 00010100
000 00011110
000 00101000
000 00110010
000 00111100
000 01000110
000 01010000
000 01011010
000 01100100
000 01101110
000 01111000
000 10000010
000 10001100
000 10010110
000 10100000
000 10101010
000 10110100
000 10111110
000 11001000
000 11010010
000 11011100
000 11100110
000 11110000
000 11111010
001 00000000
001 00001010
001 00010100
001 00011110
001 00101000
001 00110010
001 00111100
001 01000110
001 01010000
001 01011010
001 01100100
001 01101110
001 01111000
001 10000010
001 10001100
001 10010110
001 10100000
001 10101010
001 10110100
001 10111110
001 11001000
001 11010010
001 11011100
001 11100110
001 11110000
001 11111010
010 00000000
010 00001010
010 00010100
010 00011110
010 00101000
010 00110010
010 00111100
010 01000110
010 01010000
010 01011010
010 01100100
010 01101110
010 01111000
010 10000010
010 10001100
010 10010110
010 10100000
010 10101010
010 10110100
010 10111110
010 11001000
010 11010010
010 11011100
010 11100110
010 11110000
010 11111010
011 00000000
011 00001010
011 00010100
011 00011110
011 00101000
011 00110010
011 00111100
011 01000110
011 01010000
011 01011010
011 01100100
011 01101110
011 01111000
011 10000010
011 10001100
011 10010110
011 10100000
011 10101010
011 10110100
011 10111110
011 11001000
011 11010010
011 11011100
011 11100110
011 11110000
011 11111010
100 00000000
100 00001010
100 00010100
100 00011110
100 00101000
100 00110010
100 00111100
100 01000110
100 01010000
100 01011010
100 01100100
100 01101110
100 01111000
100 10000010
100 10001100
100 10010110
100 10100000
100 10101010
100 10110100
100 10111110
100 11001000
100 11010010
100 11011100
100 11100110
100 11110000
100 11111010
101 00000000
101 00001010
101 00010100
101 00011110
101 00101000
101 00110010
101 00111100
101 01000110
101 01010000
101 01011010
101 01100100
101 01101110
101 01111000
101 10000010
101 10001100
101 10010110
101 10100000
101 10101010
101 10110100
101 10111110
101 11001000
101 11010010
101 11011100
101 11100110
101 11110000
101 11111010
110 00000000
110 00001010
110 00010100
110 00011110
110 00101000
110 00110010
110 00111100
110 01000110
110 01010000
110 01011010
110 01100100
110 01101110
110 01111000
110 10000010
110 10001100
110 10010110
110 10100000
110 10101010
110 10110100
110 10111110
110 11001000
110 11010010
110 11011100
110 11100110
110 11110000
110 11111010
111 00000000
111 00001010
111 00010100
111 00011110
111 00101000
111 00110010
111 00111100
111 01000110
111 01010000
111 01011010
111 01100100
111 01101110
111 01111000
111 10000010
111 10001100
111 10010110
111 10100000
111 10101010
111 10110100
111 10111110
111 11001000
111 11010010
111 11011100
111 11100110
111 11110000
111 11111010
.
