XX XXX XXXXXXXX
XX XXX XXXXXXXX
00 000 00000000
00 000 00000001
00 000 00000010
00 000 00000011
00 000 00000100
00 000 00000101
00 000 00000110
00 000 00000111
00 000 00001000
00 000 00001001
00 000 00001010
00 000 00001011
00 000 00001100
00 000 00001101
00 000 00001110
00 000 00001111
00 000 00010000
00 000 00010001
00 000 00010010
00 000 00010011
00 000 00010100
00 000 00010101
00 000 00010110
00 000 00010111
00 000 00011000
00 000 00011001
00 000 00011010
00 000 00011011
00 000 00011100
00 000 00011101
00 000 00011110
00 000 00011111
00 000 00100000
00 000 00100001
00 000 00100010
00 000 00100011
00 000 00100100
00 000 00100101
00 000 00100110
00 000 00100111
00 000 00101000
00 000 00101001
00 000 00101010
00 000 00101011
00 000 00101100
00 000 00101101
00 000 00101110
00 000 00101111
00 000 00110000
00 000 00110001
00 000 00110010
00 000 00110011
00 000 00110100
00 000 00110101
00 000 00110110
00 000 00110111
00 000 00111000
00 000 00111001
00 000 00111010
00 000 00111011
00 000 00111100
00 000 00111101
00 000 00111110
00 000 00111111
00 000 01000000
00 000 01000001
00 000 01000010
00 000 01000011
00 000 01000100
00 000 01000101
00 000 01000110
00 000 01000111
00 000 01001000
00 000 01001001
00 000 01001010
00 000 01001011
00 000 01001100
00 000 01001101
00 000 01001110
00 000 01001111
00 000 01010000
00 000 01010001
00 000 01010010
00 000 01010011
00 000 01010100
00 000 01010101
00 000 01010110
00 000 01010111
00 000 01011000
00 000 01011001
00 000 01011010
00 000 01011011
00 000 01011100
00 000 01011101
00 000 01011110
00 000 01011111
00 000 01100000
00 000 01100001
00 000 01100010
00 000 01100011
00 000 01100100
00 000 01100101
00 000 01100110
00 000 01100111
00 000 01101000
00 000 01101001
00 000 01101010
00 000 01101011
00 000 01101100
00 000 01101101
00 000 01101110
00 000 01101111
00 000 01110000
00 000 01110001
00 000 01110010
00 000 01110011
00 000 01110100
00 000 01110101
00 000 01110110
00 000 01110111
00 000 01111000
00 000 01111001
00 000 01111010
00 000 01111011
00 000 01111100
00 000 01111101
00 000 01111110
00 000 01111111
00 000 10000000
00 000 10000001
00 000 10000010
00 000 10000011
00 000 10000100
00 000 10000101
00 000 10000110
00 000 10000111
00 000 10001000
00 000 10001001
00 000 10001010
00 000 10001011
00 000 10001100
00 000 10001101
00 000 10001110
00 000 10001111
00 000 10010000
00 000 10010001
00 000 10010010
00 000 10010011
00 000 10010100
00 000 10010101
00 000 10010110
00 000 10010111
00 000 10011000
00 000 10011001
00 000 10011010
00 000 10011011
00 000 10011100
00 000 10011101
00 000 10011110
00 000 10011111
00 000 10100000
00 000 10100001
00 000 10100010
00 000 10100011
00 000 10100100
00 000 10100101
00 000 10100110
00 000 10100111
00 000 10101000
00 000 10101001
00 000 10101010
00 000 10101011
00 000 10101100
00 000 10101101
00 000 10101110
00 000 10101111
00 000 10110000
00 000 10110001
00 000 10110010
00 000 10110011
00 000 10110100
00 000 10110101
00 000 10110110
00 000 10110111
00 000 10111000
00 000 10111001
00 000 10111010
00 000 10111011
00 000 10111100
00 000 10111101
00 000 10111110
00 000 10111111
00 000 11000000
00 000 11000001
00 000 11000010
00 000 11000011
00 000 11000100
00 000 11000101
00 000 11000110
00 000 11000111
00 000 11001000
00 000 11001001
00 000 11001010
00 000 11001011
00 000 11001100
00 000 11001101
00 000 11001110
00 000 11001111
00 000 11010000
00 000 11010001
00 000 11010010
00 000 11010011
00 000 11010100
00 000 11010101
00 000 11010110
00 000 11010111
00 000 11011000
00 000 11011001
00 000 11011010
00 000 11011011
00 000 11011100
00 000 11011101
00 000 11011110
00 000 11011111
00 000 11100000
00 000 11100001
00 000 11100010
00 000 11100011
00 000 11100100
00 000 11100101
00 000 11100110
00 000 11100111
00 000 11101000
00 000 11101001
00 000 11101010
00 000 11101011
00 000 11101100
00 000 11101101
00 000 11101110
00 000 11101111
00 000 11110000
00 000 11110001
00 000 11110010
00 000 11110011
00 000 11110100
00 000 11110101
00 000 11110110
00 000 11110111
00 000 11111000
00 000 11111001
00 000 11111010
00 000 11111011
00 000 11111100
00 000 11111101
00 000 11111110
00 000 11111111
00 001 00000000
00 001 00000001
00 001 00000010
00 001 00000011
00 001 00000100
00 001 00000101
00 001 00000110
00 001 00000111
00 001 00001000
00 001 00001001
00 001 00001010
00 001 00001011
00 001 00001100
00 001 00001101
00 001 00001110
00 001 00001111
00 001 00010000
00 001 00010001
00 001 00010010
00 001 00010011
00 001 00010100
00 001 00010101
00 001 00010110
00 001 00010111
00 001 00011000
00 001 00011001
00 001 00011010
00 001 00011011
00 001 00011100
00 001 00011101
00 001 00011110
00 001 00011111
00 001 00100000
00 001 00100001
00 001 00100010
00 001 00100011
00 001 00100100
00 001 00100101
00 001 00100110
00 001 00100111
00 001 00101000
00 001 00101001
00 001 00101010
00 001 00101011
00 001 00101100
00 001 00101101
00 001 00101110
00 001 00101111
00 001 00110000
00 001 00110001
00 001 00110010
00 001 00110011
00 001 00110100
00 001 00110101
00 001 00110110
00 001 00110111
00 001 00111000
00 001 00111001
00 001 00111010
00 001 00111011
00 001 00111100
00 001 00111101
00 001 00111110
00 001 00111111
00 001 01000000
00 001 01000001
00 001 01000010
00 001 01000011
00 001 01000100
00 001 01000101
00 001 01000110
00 001 01000111
00 001 01001000
00 001 01001001
00 001 01001010
00 001 01001011
00 001 01001100
00 001 01001101
00 001 01001110
00 001 01001111
00 001 01010000
00 001 01010001
00 001 01010010
00 001 01010011
00 001 01010100
00 001 01010101
00 001 01010110
00 001 01010111
00 001 01011000
00 001 01011001
00 001 01011010
00 001 01011011
00 001 01011100
00 001 01011101
00 001 01011110
00 001 01011111
00 001 01100000
00 001 01100001
00 001 01100010
00 001 01100011
00 001 01100100
00 001 01100101
