XXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXX X
XXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXX X
0000000000000000 0000000000000000 0
0000000000000000 0000000000000000 1
0000000000000000 0000000000000101 0
0000000000000000 0000000000000101 1
0000000000000000 0000000000001010 0
0000000000000000 0000000000001010 1
0000000000000000 0000000000001111 0
0000000000000000 0000000000001111 1
0000000000000101 0000000000000000 0
0000000000000101 0000000000000000 1
0000000000000101 0000000000000101 0
0000000000000101 0000000000000101 1
0000000000000101 0000000000001010 0
0000000000000101 0000000000001010 1
0000000000000101 0000000000001111 0
0000000000000101 0000000000001111 1
0000000000001010 0000000000000000 0
0000000000001010 0000000000000000 1
0000000000001010 0000000000000101 0
0000000000001010 0000000000000101 1
0000000000001010 0000000000001010 0
0000000000001010 0000000000001010 1
0000000000001010 0000000000001111 0
0000000000001010 0000000000001111 1
0000000000001111 0000000000000000 0
0000000000001111 0000000000000000 1
0000000000001111 0000000000000101 0
0000000000001111 0000000000000101 1
0000000000001111 0000000000001010 0
0000000000001111 0000000000001010 1
0000000000001111 0000000000001111 0
0000000000001111 0000000000001111 1
.
