XXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXX XX
XXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXX XX
0000000000000000 0000000000000000 0000000000000000 00
0000000000000000 0000000000000000 0000000000000000 01
0000000000000000 0000000000000000 0000000000000000 10
0000000000000000 0000000000000000 0000000000000101 00
0000000000000000 0000000000000000 0000000000000101 01
0000000000000000 0000000000000000 0000000000000101 10
0000000000000000 0000000000000000 0000000000001010 00
0000000000000000 0000000000000000 0000000000001010 01
0000000000000000 0000000000000000 0000000000001010 10
0000000000000000 0000000000000000 0000000000001111 00
0000000000000000 0000000000000000 0000000000001111 01
0000000000000000 0000000000000000 0000000000001111 10
0000000000000000 0000000000000101 0000000000000000 00
0000000000000000 0000000000000101 0000000000000000 01
0000000000000000 0000000000000101 0000000000000000 10
0000000000000000 0000000000000101 0000000000000101 00
0000000000000000 0000000000000101 0000000000000101 01
0000000000000000 0000000000000101 0000000000000101 10
0000000000000000 0000000000000101 0000000000001010 00
0000000000000000 0000000000000101 0000000000001010 01
0000000000000000 0000000000000101 0000000000001010 10
0000000000000000 0000000000000101 0000000000001111 00
0000000000000000 0000000000000101 0000000000001111 01
0000000000000000 0000000000000101 0000000000001111 10
0000000000000000 0000000000001010 0000000000000000 00
0000000000000000 0000000000001010 0000000000000000 01
0000000000000000 0000000000001010 0000000000000000 10
0000000000000000 0000000000001010 0000000000000101 00
0000000000000000 0000000000001010 0000000000000101 01
0000000000000000 0000000000001010 0000000000000101 10
0000000000000000 0000000000001010 0000000000001010 00
0000000000000000 0000000000001010 0000000000001010 01
0000000000000000 0000000000001010 0000000000001010 10
0000000000000000 0000000000001010 0000000000001111 00
0000000000000000 0000000000001010 0000000000001111 01
0000000000000000 0000000000001010 0000000000001111 10
0000000000000000 0000000000001111 0000000000000000 00
0000000000000000 0000000000001111 0000000000000000 01
0000000000000000 0000000000001111 0000000000000000 10
0000000000000000 0000000000001111 0000000000000101 00
0000000000000000 0000000000001111 0000000000000101 01
0000000000000000 0000000000001111 0000000000000101 10
0000000000000000 0000000000001111 0000000000001010 00
0000000000000000 0000000000001111 0000000000001010 01
0000000000000000 0000000000001111 0000000000001010 10
0000000000000000 0000000000001111 0000000000001111 00
0000000000000000 0000000000001111 0000000000001111 01
0000000000000000 0000000000001111 0000000000001111 10
0000000000000101 0000000000000000 0000000000000000 00
0000000000000101 0000000000000000 0000000000000000 01
0000000000000101 0000000000000000 0000000000000000 10
0000000000000101 0000000000000000 0000000000000101 00
0000000000000101 0000000000000000 0000000000000101 01
0000000000000101 0000000000000000 0000000000000101 10
0000000000000101 0000000000000000 0000000000001010 00
0000000000000101 0000000000000000 0000000000001010 01
0000000000000101 0000000000000000 0000000000001010 10
0000000000000101 0000000000000000 0000000000001111 00
0000000000000101 0000000000000000 0000000000001111 01
0000000000000101 0000000000000000 0000000000001111 10
0000000000000101 0000000000000101 0000000000000000 00
0000000000000101 0000000000000101 0000000000000000 01
0000000000000101 0000000000000101 0000000000000000 10
0000000000000101 0000000000000101 0000000000000101 00
0000000000000101 0000000000000101 0000000000000101 01
0000000000000101 0000000000000101 0000000000000101 10
0000000000000101 0000000000000101 0000000000001010 00
0000000000000101 0000000000000101 0000000000001010 01
0000000000000101 0000000000000101 0000000000001010 10
0000000000000101 0000000000000101 0000000000001111 00
0000000000000101 0000000000000101 0000000000001111 01
0000000000000101 0000000000000101 0000000000001111 10
0000000000000101 0000000000001010 0000000000000000 00
0000000000000101 0000000000001010 0000000000000000 01
0000000000000101 0000000000001010 0000000000000000 10
0000000000000101 0000000000001010 0000000000000101 00
0000000000000101 0000000000001010 0000000000000101 01
0000000000000101 0000000000001010 0000000000000101 10
0000000000000101 0000000000001010 0000000000001010 00
0000000000000101 0000000000001010 0000000000001010 01
0000000000000101 0000000000001010 0000000000001010 10
0000000000000101 0000000000001010 0000000000001111 00
0000000000000101 0000000000001010 0000000000001111 01
0000000000000101 0000000000001010 0000000000001111 10
0000000000000101 0000000000001111 0000000000000000 00
0000000000000101 0000000000001111 0000000000000000 01
0000000000000101 0000000000001111 0000000000000000 10
0000000000000101 0000000000001111 0000000000000101 00
0000000000000101 0000000000001111 0000000000000101 01
0000000000000101 0000000000001111 0000000000000101 10
0000000000000101 0000000000001111 0000000000001010 00
0000000000000101 0000000000001111 0000000000001010 01
0000000000000101 0000000000001111 0000000000001010 10
0000000000000101 0000000000001111 0000000000001111 00
0000000000000101 0000000000001111 0000000000001111 01
0000000000000101 0000000000001111 0000000000001111 10
0000000000001010 0000000000000000 0000000000000000 00
0000000000001010 0000000000000000 0000000000000000 01
0000000000001010 0000000000000000 0000000000000000 10
0000000000001010 0000000000000000 0000000000000101 00
0000000000001010 0000000000000000 0000000000000101 01
0000000000001010 0000000000000000 0000000000000101 10
0000000000001010 0000000000000000 0000000000001010 00
0000000000001010 0000000000000000 0000000000001010 01
0000000000001010 0000000000000000 0000000000001010 10
0000000000001010 0000000000000000 0000000000001111 00
0000000000001010 0000000000000000 0000000000001111 01
0000000000001010 0000000000000000 0000000000001111 10
0000000000001010 0000000000000101 0000000000000000 00
0000000000001010 0000000000000101 0000000000000000 01
0000000000001010 0000000000000101 0000000000000000 10
0000000000001010 0000000000000101 0000000000000101 00
0000000000001010 0000000000000101 0000000000000101 01
0000000000001010 0000000000000101 0000000000000101 10
0000000000001010 0000000000000101 0000000000001010 00
0000000000001010 0000000000000101 0000000000001010 01
0000000000001010 0000000000000101 0000000000001010 10
0000000000001010 0000000000000101 0000000000001111 00
0000000000001010 0000000000000101 0000000000001111 01
0000000000001010 0000000000000101 0000000000001111 10
0000000000001010 0000000000001010 0000000000000000 00
0000000000001010 0000000000001010 0000000000000000 01
0000000000001010 0000000000001010 0000000000000000 10
0000000000001010 0000000000001010 0000000000000101 00
0000000000001010 0000000000001010 0000000000000101 01
0000000000001010 0000000000001010 0000000000000101 10
0000000000001010 0000000000001010 0000000000001010 00
0000000000001010 0000000000001010 0000000000001010 01
0000000000001010 0000000000001010 0000000000001010 10
0000000000001010 0000000000001010 0000000000001111 00
0000000000001010 0000000000001010 0000000000001111 01
0000000000001010 0000000000001010 0000000000001111 10
0000000000001010 0000000000001111 0000000000000000 00
0000000000001010 0000000000001111 0000000000000000 01
0000000000001010 0000000000001111 0000000000000000 10
0000000000001010 0000000000001111 0000000000000101 00
0000000000001010 0000000000001111 0000000000000101 01
0000000000001010 0000000000001111 0000000000000101 10
0000000000001010 0000000000001111 0000000000001010 00
0000000000001010 0000000000001111 0000000000001010 01
0000000000001010 0000000000001111 0000000000001010 10
0000000000001010 0000000000001111 0000000000001111 00
0000000000001010 0000000000001111 0000000000001111 01
0000000000001010 0000000000001111 0000000000001111 10
0000000000001111 0000000000000000 0000000000000000 00
0000000000001111 0000000000000000 0000000000000000 01
0000000000001111 0000000000000000 0000000000000000 10
0000000000001111 0000000000000000 0000000000000101 00
0000000000001111 0000000000000000 0000000000000101 01
0000000000001111 0000000000000000 0000000000000101 10
0000000000001111 0000000000000000 0000000000001010 00
0000000000001111 0000000000000000 0000000000001010 01
0000000000001111 0000000000000000 0000000000001010 10
0000000000001111 0000000000000000 0000000000001111 00
0000000000001111 0000000000000000 0000000000001111 01
0000000000001111 0000000000000000 0000000000001111 10
0000000000001111 0000000000000101 0000000000000000 00
0000000000001111 0000000000000101 0000000000000000 01
0000000000001111 0000000000000101 0000000000000000 10
0000000000001111 0000000000000101 0000000000000101 00
0000000000001111 0000000000000101 0000000000000101 01
0000000000001111 0000000000000101 0000000000000101 10
0000000000001111 0000000000000101 0000000000001010 00
0000000000001111 0000000000000101 0000000000001010 01
0000000000001111 0000000000000101 0000000000001010 10
0000000000001111 0000000000000101 0000000000001111 00
0000000000001111 0000000000000101 0000000000001111 01
0000000000001111 0000000000000101 0000000000001111 10
0000000000001111 0000000000001010 0000000000000000 00
0000000000001111 0000000000001010 0000000000000000 01
0000000000001111 0000000000001010 0000000000000000 10
0000000000001111 0000000000001010 0000000000000101 00
0000000000001111 0000000000001010 0000000000000101 01
0000000000001111 0000000000001010 0000000000000101 10
0000000000001111 0000000000001010 0000000000001010 00
0000000000001111 0000000000001010 0000000000001010 01
0000000000001111 0000000000001010 0000000000001010 10
0000000000001111 0000000000001010 0000000000001111 00
0000000000001111 0000000000001010 0000000000001111 01
0000000000001111 0000000000001010 0000000000001111 10
0000000000001111 0000000000001111 0000000000000000 00
0000000000001111 0000000000001111 0000000000000000 01
0000000000001111 0000000000001111 0000000000000000 10
0000000000001111 0000000000001111 0000000000000101 00
0000000000001111 0000000000001111 0000000000000101 01
0000000000001111 0000000000001111 0000000000000101 10
0000000000001111 0000000000001111 0000000000001010 00
