X X XXX XXXXXXXXXXXXXXXX XXX XXX
X X XXX XXXXXXXXXXXXXXXX XXX XXX
1 0 000 0000000000000000 000 000
0 0 000 0000000000000000 110 111
0 1 000 0000000000000000 001 111
0 0 001 0000000000000001 101 000
0 1 001 0000000000000001 010 100
0 0 010 0000000000000010 111 111
0 1 010 0000000000000010 001 111
0 0 011 0000000000000011 111 011
0 1 011 0000000000000011 110 001
0 0 100 0000000000000100 011 111
0 1 100 0000000000000100 110 111
0 0 101 0000000000000101 101 000
0 1 101 0000000000000101 110 111
0 0 110 0000000000000110 101 110
0 1 110 0000000000000110 101 011
0 0 111 0000000000000111 101 001
0 1 111 0000000000000111 101 000
0 0 000 0000000000000000 010 000
0 1 000 0000000000000000 000 110
0 0 001 0000000000000001 101 010
0 1 001 0000000000000001 111 000
0 0 010 0000000000000010 011 011
0 1 010 0000000000000010 110 110
0 0 011 0000000000000011 001 011
0 1 011 0000000000000011 011 101
0 0 100 0000000000000100 101 110
0 1 100 0000000000000100 010 101
0 0 101 0000000000000101 101 001
0 1 101 0000000000000101 000 011
0 0 110 0000000000000110 111 010
0 1 110 0000000000000110 100 001
0 0 111 0000000000000111 110 010
0 1 111 0000000000000111 100 101
0 0 000 0000000000000000 111 111
0 1 000 0000000000000000 100 001
0 0 001 0000000000000001 001 010
0 1 001 0000000000000001 110 010
0 0 010 0000000000000010 110 001
0 1 010 0000000000000010 111 010
0 0 011 0000000000000011 001 010
0 1 011 0000000000000011 100 011
0 0 100 0000000000000100 010 110
0 1 100 0000000000000100 100 100
0 0 101 0000000000000101 111 010
0 1 101 0000000000000101 110 110
0 0 110 0000000000000110 011 100
0 1 110 0000000000000110 000 000
0 0 111 0000000000000111 100 110
0 1 111 0000000000000111 111 001
0 0 000 0000000000000000 100 011
0 1 000 0000000000000000 000 010
0 0 001 0000000000000001 001 110
0 1 001 0000000000000001 010 100
0 0 010 0000000000000010 001 100
0 1 010 0000000000000010 010 101
0 0 011 0000000000000011 101 101
0 1 011 0000000000000011 011 000
0 0 100 0000000000000100 001 111
0 1 100 0000000000000100 001 110
0 0 101 0000000000000101 100 111
0 1 101 0000000000000101 000 011
0 0 110 0000000000000110 000 111
0 1 110 0000000000000110 000 110
0 0 111 0000000000000111 110 110
0 1 111 0000000000000111 000 011
0 0 000 0000000000000000 010 110
0 1 000 0000000000000000 011 111
0 0 001 0000000000000001 001 010
0 1 001 0000000000000001 001 001
0 0 010 0000000000000010 110 100
0 1 010 0000000000000010 100 001
0 0 011 0000000000000011 110 100
0 1 011 0000000000000011 010 100
0 0 100 0000000000000100 011 000
0 1 100 0000000000000100 001 000
0 0 101 0000000000000101 001 001
0 1 101 0000000000000101 011 000
0 0 110 0000000000000110 111 111
0 1 110 0000000000000110 011 011
0 0 111 0000000000000111 010 111
0 1 111 0000000000000111 010 000
0 0 000 0000000000000000 110 011
0 1 000 0000000000000000 001 011
0 0 001 0000000000000001 000 001
0 1 001 0000000000000001 111 111
0 0 010 0000000000000010 100 000
0 1 010 0000000000000010 001 010
0 0 011 0000000000000011 110 000
0 1 011 0000000000000011 000 001
0 0 100 0000000000000100 101 101
0 1 100 0000000000000100 101 011
0 0 101 0000000000000101 100 010
0 1 101 0000000000000101 101 001
0 0 110 0000000000000110 101 001
0 1 110 0000000000000110 010 101
0 0 111 0000000000000111 110 000
0 1 111 0000000000000111 111 110
.
